iter	Passed	Remaining
2914	68198	165758
2915	68226	165747
2916	68252	165728
2917	68281	165720
2918	68309	165707
2919	68331	165679
2920	68361	165672
2921	68382	165643
2922	68405	165619
2923	68435	165611
2924	68459	165589
2925	68481	165563
2926	68505	165541
2927	68528	165516
2928	68551	165491
2929	68574	165467
2930	68598	165446
2931	68621	165421
2932	68642	165393
2933	68667	165374
2934	68690	165347
2935	68711	165320
2936	68734	165294
2937	68761	165279
2938	68791	165271
2939	68811	165241
2940	68841	165232
2941	68863	165207
2942	68886	165181
2943	68910	165159
2944	68932	165132
2945	68955	165108
2946	68979	165086
2947	69000	165058
2948	69021	165030
